alcohol_id,type_name,alco_name,image,detail,detail_english
1,1331、1332,カシスオレンジ,,カシスリキュール+オレンジジュース、甘口、赤系、甘くフルーティーである、アルコール度数は低い。,"Cassis liqueur + orange juice, sweet, red, sweet and fruity, alcohol content is low."
2,1331、1332,ファジーネーブル,,ピーチリキュール+オレンジジュース、甘口、黄色系、とてもフルーティーでトロピカルジュースみたい、アルコール度数は低い。,"Peach liqueur + orange juice, sweet, yellowish, very fruity and tropical juice, alcohol content is low."
3,1311、1312,ピーチソーダ,,ピーチリキュール+ソーダ、中甘辛口、黄色系、その名の通りピーチソーダの味がしてさっぱりしている、アルコール度数は低い。,"Peach liqueur + soda, medium spicy mouth, yellow series, as its name tastes like peach soda, refreshing, alcohol content is low."
4,1231、1232,スクリュードライバー,,ウォッカ+オレンジジュース、中甘辛口、黄色系、口当たりがよくてジュースのような甘さがある、アルコール度数は普通。,"Vodka + orange juice, medium spicy mouth, yellowish, mouthfeeling and sweet like juice, alcohol content is normal."
5,1111,オレンジブロッサム,,ジン+オレンジジュース、中甘辛口、黄色系、ジンの爽やかな香りとオレンジのフルーティーなおいしさがある、アルコール度数は普通。,"Jin + orange juice, medium spicy mouth, yellowish, refreshing scent of gin and orange fruity taste, alcohol content is normal."
6,1321,カルーアミルク,,カルーア+牛乳、甘口、茶系、コーヒー牛乳のような甘くまろやかな味がする、アルコール度数は低い。,"It has a sweet and mellow taste like Kalua + milk, sweet mouth, brown series, coffee milk, alcohol content is low."
7,1121、1122,アレキサンダー,,ジン+生クリーム+クレーム・ド・カカオ+ナツメグ、甘口、茶系、味はチョコレートケーキを連想させる、まろやかで甘い味わいで女性に人気、アルコール度数は普通。,"Jin + Fresh Cream + Claims de Cacao + Nutmeg, Sweet Tea, Brown System, Taste is reminiscent of chocolate cake, mellow and sweet taste popular with women, alcohol content is normal."
8,1112,ダイキリ,,ラム+ライムジュース+砂糖、中甘辛口、白系、ラムを使った代表的なカクテル、さわやかな風味にバランスのとれた甘さがある、アルコール度数は普通。,"Rum + lime juice + sugar, medium sweet spout, white series, typical cocktail using rum, balanced sweetness with refreshing flavor, alcohol content is normal."
9,1322,グラスホッパー,,グリーン・ペパーミント・リキュール+ホワイト・カカオ・リキュール+生クリーム、甘口、緑系、ミントの香りとかなり甘めでなめらかな味わい、一言で言えばチョコミントの味、アルコール度数は普通。,"Green · peppermint · liqueur + white · cacao · liqueur + fresh cream, sweet mouth, green and mint scent and quite sweet and smooth taste, in a nutshell the taste of chocolate mint, alcohol content is normal."
10,1311、1312,オペレーター,,白ワイン+ジンジャーエール、中甘中辛、黄色系、味はさっぱりしていて、ソフトドリンクのような甘さで飲みやすい、女性に人気が高い、アルコール度数は低い。,"White wine + ginger ale, medium sweet spicy, yellowish, taste refreshing, easy to sweet like soft drink, popular in women, alcohol content is low."
11,1131、1132,キューバ・リブレ,,ラム+ライム+コーラ、中甘辛口、茶系、ラム独特の甘さがある、アルコール度数は普通。,"Lamb + lime + cola, medium sweet spout, tea series, sweetness peculiar to ram, alcohol content is normal."
12,1221,メロン・ボール,,ウォッカ+メロンリキュール+オレンジジュース、甘口、緑系、メロンの甘さとオレンジジュースがマッチして飲みやすい、アルコール度数は普通。,"Vodka + melon liqueur + orange juice, sweet, green, melon sweetness and orange juice matched and easy to drink, alcohol content is normal."
13,1222,雪国,,ウォッカ+ホワイトキュラソー+ライムジュース+砂糖、甘口、緑系、日本人のバーテンダーが作ったカクテルとしては最も有名、甘くて飲みやすい、アルコール度数は高い。,"Vodka + white curry saw + lime juice + sugar, sweet, green, cocktail made by a Japanese bartender is the most famous, sweet and easy to drink, alcohol content is high."
14,1221,ゴッド・ファーザー,,ウイスキー+アーモンドリキュール、中甘辛口、茶系、アーモンド風味の香りと甘味、ウイスキーの濃厚さが特徴である、アルコール度数は高い。,"Whiskey + almond liqueur, medium spicy mouth, brown series, almond flavored scent and sweetness, characterized by richness of whiskey, alcohol content is high."
15,1211、1212,マンハッタン,,ウイスキー+スイートベルモット+アンゴスチュラビターズ+チェリー+レモンピール、中甘辛口、赤系、ほろ苦い甘みのある味、アルコール度数は高い。,"Whiskey + sweet vermouth + angostura bitters + cherry + lemon peel, medium spicy mouth, red family, bittersweet sweet taste, alcohol content is high."
16,2211、2212,カシスグレープフルーツ,,カシスリキュール+グレープフルーツジュース、甘口、赤系、それほど甘過ぎずさっぱりと飲める、アルコール度数は低い。,"Cassis liqueur + grapefruit juice, sweet red, red, not too sweet, drinkable, alcohol content is low."
17,2311,ジンバック,,ドライ・ジン+ジンジャーエール+レモンジュース、中甘辛口、無色、さわやかな飲み口ですっきりとした味わい、アルコール度数は普通。,"Dry · Jin + ginger ale + lemon juice, medium sweet spout, colorless, refreshing taste with refreshing mouth, alcohol content is normal."
18,2332,ホワイト・レディ,,ドライ・ジン+ホワイト・キュラソー+レモンジュース、中甘辛口、白系、少し強めでシャープな味わいで甘過ぎない、アルコール度数は高い。,"Dry · Jin + White · Curacao + lemon juice, medium spicy mouth, white series, slightly intense and sharp taste, not too sweet, alcohol content is high."
19,2321、2322,マルガリータ,,テキーラ+ホワイト・キュラソー+レモン（ライム）ジュース+食塩、中甘辛口、白系、スノースタイル（グラスの淵に食塩がついている）で甘くてさっぱりしているので飲みやすい、アルコール度数は高い。,"It is sweet and refreshed with tequila + white curacao + lemon (lime) juice + salt, medium spicy mouth, white system, snow style (salt is attached to the edge of the glass), so it is easy to drink, alcohol content is high."
20,2112、2132,ミモザ,,シャンパン+オレンジジュース、中甘辛口、黄色系、この世で最もおいしくて贅沢なオレンジジュースといわれている、フルーティーなのにおしゃれな味、アルコール度数は低い。,"Champagne + orange juice, medium spicy mouth, yellow series, said to be the most delicious and extravagant orange juice in the world, fruity but fancy taste, alcohol content is low."
21,2122,バラライカ,,ウォッカ+ホワイト・キュラソー+レモンジュース、中甘辛口、白系、さっぱりとして口当たりがよく、クールで切れ味のある味わい、アルコール度数は高い。,"Vodka + white · curacao + lemon juice, medium sweet spout, white system, refreshing, mouthfeel, cool and sharp taste, alcohol content is high."
22,2231、2232,サイドカー,,ブランデー+ホワイト・キュラソー+レモンジュース、中甘辛口、茶系、オレンジの香りとレモン果汁の酸味がマッチした爽やかでフルーティーな味わい、アルコール度数は高い。,"Brandy + white · curacao + lemon juice, medium sweet spout, tea series, fresh and fruity taste with aroma of orange and acidity of lemon juice match, alcohol content is high."
23,2331,レッド・アイ,,ビール+トマトジュース、辛口、赤系、さっぱりとした飲み口ですっきりごくごく飲める、アルコール度数は低い。,"Beer + tomato juice, dry, red, refreshingly refreshing with a refreshing drinking mouth, alcohol content is low."
24,2312,ギムレット,,ジン+ライムジュース、中甘辛口、無色、ギムレットとは「錐（きり）」の意で鋭く突き刺さるような味、辛口で酸味がある、アルコール度数は高い。,"Jin + lime juice, medium sweet spout, colorless, gimlet is a taste that sharply pierces with ""drilling"", dry and sour, alcohol content is high."
25,2211、2212,チャイナブルー,,ライチリキュール+ブルーキュラソー+グレープフルーツジュース、中甘辛口、青系、ライチとグレープフルーツの組み合わせで飲みやすく、色もほんのり青くて綺麗、アルコール度数は低い。,"Liche liqueur + blu - curacao + grapefruit juice, medium spicy mouth, blue series, easy to drink with litchi and grapefruit, color is also slightly blue and beautiful, alcohol content is low."
26,2121,カイピリーニャ,,カシャーサ+ライム+砂糖+クラッシュドアイス、中甘辛口、白系、程よい酸味と甘みがあり飲みやすい、アルコール度数は高い。,"Cassiaca + lime + sugar + crushed ice, medium spicy mouth, white series, moderately sour and sweet and easy to drink, alcohol content is high."
27,2221、2222,ニューヨーク,,ウイスキー+ライムジュース+グレナデンシロップ+砂糖+オレンジピール、赤系、鮮やかなオレンジ色が魅力的、柑橘類の酸味が程よい口当たり、アルコール度数は高い。,"Whiskey + lime juice + grenadine syrup + sugar + orange peel, red series, vibrant orange color is attractive, citrus sourness is reasonable, mouthfeel, alcohol content is high."
28,2111、2131,ソル・クバーノ,,ラム+グレープフルーツジュース+トニックウォーター+カットグレープフルーツ、中甘辛口、白系、グレープフルーツのフレッシュな酸味と苦みがある、アルコール度数は低い。,"Lamb + grapefruit juice + tonic water + cut grapefruit, medium sweet spout, white series, grapefruit have fresh acidity and bitterness, alcohol content is low."
29,3212,モスコミュール,,ウォッカ+ジンジャーエール+ライムジュース、中甘辛口、茶系、さっぱりとした飲み口でさわやかな香りがある、アルコール度数は普通。,"Vodka + ginger ale + lime juice, medium spicy mouth, brown series, refreshing smell with refreshing drinking mouth, alcohol content is normal."
30,3111,ジントニック,,ドライ・ジン+トニックウォーター+ライムカット、中甘辛口、無色、とても爽やかな味わいで、すこしツンとした癖のある香りがする、アルコール度数は普通。,"Dry · Jin + tonic water + lime cut, medium sweet spout, colorless, very refreshing taste, a scent with a slightly tinged habit, alcohol content is normal."
31,3211,ソルティドッグ,,ウォッカ+グレープフルーツジュース+食塩、中甘辛口、黄色系、グレープフルーツの苦みと特徴的なスノースタイル（グラスの淵に食塩がついている）のしょっぱさがちょうどいい、アルコール度数は普通。,"The vodka + grapefruit juice + salt, medium sweet spout, yellowish, grapefruit bitterness and distinctive snow style (salted on the edge of the glass) is just right, alcohol content is normal."
32,3221、3222,バレンシア,,アプリコット・ブランデー+オレンジジュース+オレンジ・ビターズ、中甘辛口、黄色系、甘口でさっぱりとした味、オレンジの苦みもある、アルコール度数は普通。,"Apricot · brandy + orange juice + orange · bitters, medium spicy mouth, yellowish, sweet and refreshing taste, orange bitterness, alcohol content is normal."
33,3111,グリーン・アラスカ,,ジン+シャトリューズ・ヴェール、辛口、緑系、ハーブの苦味と蜂蜜の甘さが合体し、深い味わいと香りがある、アルコール度数は高い。,"Jin + Chatriuse · Vale, dry, green, herbs bitter taste and honey sweetness coalesce, with deep flavor and aroma, alcohol content is high."
34,3312,カンパリオレンジ,,カンパリ+オレンジジュース、中甘辛口、黄色系、カンパリは苦みの強いお酒だが、オレンジを入れて甘苦くなっている少し大人な味、アルコール度数は低い。,"Campari + orange juice, medium sweet spout, yellow series, campari is a bitter bitter sake, but a little adult flavor, which is getting bitter and sweet with oranges, alcohol content is low."
35,3121、3122,シャンディ・ガフ,,ビール+ジンジャーエール、中甘辛口、茶系、ジンジャーエールのほのかな甘さとビールのほろ苦さがマッチしている、アルコール度数は低い。,"Beer + ginger ale, medium sweet spout, brown series, minor sweetness of ginger ale and beer's bitter taste are matched, alcohol content is low."
36,3312,スプモーニ,,カンパリ+グレープフルーツジュース+トニックウォーター、甘口、赤系、見た目がサーモンピンクでとても綺麗、カンパリの苦みとトニックの爽やかな香りがお洒落な味わい、アルコール度数は低い。,"Campari + grapefruit juice + tonic water, sweet mouth, red type, salmon pink looks very beautiful, bitter bitterness of the campari and fresh aroma of tonic are fancy taste, alcohol content is low."
37,3321、3322,ダージリンクーラー,,ティフィン・ティー・リキュール+シャンボール（またはクレーム・ド・フランボワーズ）+レモンジュース+ジンジャーエール、中甘辛口、茶系、紅茶のリキュールに木苺の味が相まって、ピーチティーやアップルティーに近い味がするが、それをジンジャーエールで割ってさっぱりとしている、アルコール度数は普通。,"Tiffin · Tea Liqueur + Chambord (or Claims de Franbowers) + Lemon juice + Ginger ale, Medium sweet spit, tea and tea liqueur combine with taste of taste and taste like peach tea and apple tea However, it is refreshing by dividing it by ginger ale, alcohol content is normal."
38,3311,カンパリソーダ,,カンパリ+ソーダ、中甘辛口、赤系、苦くて独特の風味がある、アルコール度数は普通。,"Campari + soda, medium spicy mouth, red series, bitter and unique flavor, alcohol content is normal."
39,3112,パナシェ,,ビール+透明なレモンの炭酸飲料、中甘辛口、黄色系、ビールの持つほろ苦さとレモン炭酸飲料の甘さと酸味が絡み合い、爽やかな飲み口、アルコール度数は低い。,"Beer + transparent lemon carbonated drink, medium sweet spout, yellowish beer, bitter sweetness of beer and sweetness and acidity of lemon carbonated drink intertwine with each other, refreshing drinking mouth, alcohol content is low."
40,4111,モヒート,,ラム+ライム+ソーダ+砂糖+ミントの葉、辛口、無色、ラムのいい香りとライムやミントの爽やかさがある、アルコール度数は普通。,"Lamb + lime + soda + sugar + mint leaves, dry, colorless, with a good fragrance of rum and lime and mint refreshing, alcohol content is normal."
41,4112,マティーニ,,ドライ・ジン+ドライ・ベルモット+オリーブの実、辛口、無色、引き締まった辛口の味わいでオリーブの実をかじりながら飲むと風味が変わる、アルコール度数は高い。,"Dry · Jin + Dry · Vermouth + Olive Fruit, Dry, Colorless, Dry with a tight, dry taste and change the flavor when you drink while chewing olive fruit, alcohol content is high."
42,4312,バンブー,,ラ・イーナ+ドライベルモット+オレンジビターズ、辛口、無色、キリッとクリアな味わい、アルコール度数は高い。,"La · Inna + Dry Vermouth + Orange Bitters, Dry, Colorless, Clear and Clear Taste, alcohol content is high."
43,4311,キティ,,赤ワイン+ジンジャーエール、中甘辛口、赤系、ジンジャーエールを辛口にすればキリッとした味わい、ジンジャーエールを甘口にすれば甘めの味わいになる、アルコール度数は低い。,"Red wine + ginger ale, medium sweet spout, red type, ginger ale with crispy taste, ginger ale sweet taste sweet taste, alcohol content is low."
44,4221、4222,カミカゼ,,ウォッカ+ライムジュース+ホワイトキュラソー、中甘辛口、白系、キリッとした味が特徴で、すっきりしたカクテル、アルコール度数は高い。,"Vodka + lime juice + white curacao, medium sweet spout, white series, crispy taste, characterized by refreshing cocktails, alcohol content is high."
45,4211,カイピロスカ,,ウォッカ+ライム+砂糖+クラッシュドアイス、中甘辛口、無色、刻んだライムの爽やかな味わい、アルコール度数は高い。,"Vodka + lime + sugar + crushed ice, medium spicy mouth, colorless, refreshing taste of chopped lime, alcohol content is high."
46,4121、4122,アラスカ,,ジン+イエローシャルトリューズ、中甘辛口、黄色系、キリッとした強い味わいとハーブの甘さが際立つ味、アルコール度数は高い。,"Jin + Yellow Chartreuse, medium spicy mouth, yellowish, crisp and strong taste and sweetness of herbs stand out, alcohol content is high."
47,4321、4322,エル・ディアブロ,,テキーラ+カシスリキュール+ジンジャーエール+ライム、辛口、赤系、ライムの酸味とジンジャーエールのピリッとした風味ですっきりと飲める、アルコール度数は普通。,"Tequila + cassis liqueur + ginger ale + lime, dry, red, refreshing with lime acidity and ginger ale spicy flavor, alcohol content is normal."
48,4111,アンダルシア,,ホワイト・ラム+コニャック+ドライ・シェリー、辛口、茶系、コニャックとシェリーの風味がマッチしたキレのよい味わい、アルコール度数は高い。,"White · rum + cognac + dry · sherry, dry, brown series, cognac and sherry flavored matched flavor, alcohol content is high."
49,4212,ウォッカ・マティーニ,,ウォッカ+ドライベルモット+オリーブの実、辛口、無色、ウォッカベースの淡白な味わい、アルコール度数は高い。,"Vodka + dry vermouth + olive fruit, dry, colorless, vodka based fresh white flavor, alcohol content is high."
50,4221,ホーセズ・ネック,,ブランデー+ジンジャーエール+レモンの皮、中甘辛口、茶系、螺旋状にまかれたレモンの皮が特徴、レモンの酸味とはまた変わった香りが楽しめる、アルコール度数は普通。,"Brandy + ginger ale + lemon peel, medium sweet spout, tea series, spirally lemon peeled lemon, lemon acid sourness can enjoy a different aroma, alcohol content is normal."
